ReportMonth,ClientID,ClientName,GrossConversionRate,OrderVolume,TotalSales,ShareRx,ShareGenericRx,ShareBrandRx
01-09-2023,864213,Theta Enterprises,2.3985,10759,510474.85,0.3494,0.5877,0.0629
01-01-2024,791842,Zeta Group,2.173,29295,738821.17,0.2524,0.1512,0.5964
01-04-2024,703124,Epsilon Ltd,0.702,20286,1410141.67,0.0416,0.3453,0.6131
01-08-2023,531627,Iota Partners,0.9913,15992,671660.82,0.1913,0.1276,0.6811
01-09-2024,916483,Beta LLC,0.6497,19501,1115312.67,0.6605,0.3068,0.0327
01-02-2023,374630,Beta LLC,2.1989,28869,2019102.81,0.7,0.1918,0.1082
01-04-2024,744343,Alpha Corp,2.43,10636,712085.73,0.6568,0.2741,0.0691
01-02-2023,958051,Eta Solutions,1.515,28414,1788099.27,0.2701,0.4506,0.2793
01-04-2023,587462,Delta Co,0.7944,12141,638305.41,0.6971,0.1524,0.1505
01-05-2023,819712,Alpha Corp,2.1227,14527,670438.58,0.8828,0.1131,0.0041
01-10-2023,899655,Delta Co,1.4454,22876,710914.66,0.084,0.7316,0.1844
01-04-2023,540484,Eta Solutions,2.2094,17334,454618.58,0.6218,0.3491,0.0292
01-02-2023,219984,Zeta Group,0.5742,13197,510651.6,0.5381,0.2329,0.229
01-08-2023,254413,Kappa Dynamics,0.7102,29249,1104533.52,0.0556,0.6696,0.2747
01-03-2024,140461,Zeta Group,1.086,17106,496371.64,0.2595,0.6195,0.121
01-10-2024,205005,Iota Partners,1.867,26090,1685143.96,0.7434,0.2237,0.0329
01-03-2023,829624,Eta Solutions,0.7944,28149,1600310.8,0.4428,0.4343,0.1229
01-01-2023,581516,Zeta Group,0.5077,21443,1693963.72,0.8085,0.0942,0.0972
01-03-2023,495919,Alpha Corp,1.3659,16338,1220561.37,0.1072,0.2503,0.6425
01-10-2024,784809,Gamma Inc,0.6957,17196,1284193.67,0.5457,0.2701,0.1841
01-11-2024,860494,Epsilon Ltd,1.9414,23407,1457573.9,0.2136,0.6823,0.1042
01-02-2024,958287,Theta Enterprises,1.103,23096,642855.65,0.0045,0.0889,0.9066
01-08-2024,745338,Eta Solutions,1.9988,28481,1614224.41,0.1873,0.7047,0.108
01-09-2024,492683,Beta LLC,0.8767,15376,977465.01,0.5389,0.122,0.3391
01-08-2023,390729,Iota Partners,0.6125,19692,1440863.49,0.3778,0.4383,0.1839
01-10-2023,787813,Iota Partners,2.3371,21883,1149155.16,0.2341,0.625,0.141
01-11-2023,775006,Beta LLC,1.0104,10037,356233.95,0.7371,0.2613,0.0016
01-04-2023,339292,Epsilon Ltd,2.0598,21798,706504.25,0.2373,0.41,0.3527
01-10-2024,561959,Eta Solutions,2.0229,26941,1750368.69,0.2009,0.7639,0.0352
01-12-2023,526608,Theta Enterprises,1.5838,21454,1031556.95,0.0482,0.2355,0.7163
01-02-2023,401948,Alpha Corp,2,15457,774998.58,0.8088,0.0643,0.1269
01-09-2023,490995,Eta Solutions,0.7107,20137,1204663.02,0.5554,0.1737,0.2709
01-04-2023,639904,Iota Partners,0.5541,26032,689165.27,0.6158,0.2936,0.0906
01-02-2024,571061,Theta Enterprises,1.4136,28350,2018752.22,0.2788,0.3897,0.3316
01-10-2024,409571,Gamma Inc,1.5067,26193,970432.22,0.5118,0.3578,0.1303
01-01-2023,657709,Iota Partners,0.8846,22784,1065363.44,0.6868,0.1654,0.1478
01-10-2024,561508,Kappa Dynamics,1.8001,21278,542265.45,0.476,0.176,0.348
01-02-2023,755877,Gamma Inc,1.7136,10860,314344.38,0.2774,0.6514,0.0712
01-12-2024,642869,Theta Enterprises,1.8136,23382,1804918.81,0.4338,0.1881,0.3781
01-02-2023,927009,Beta LLC,2.2948,18529,1170948.37,0.4266,0.3502,0.2232
01-05-2023,953503,Epsilon Ltd,2.3072,12883,576497.99,0.2237,0.0824,0.6939
01-11-2024,996466,Iota Partners,1.6117,23807,1808442.26,0.6249,0.23,0.1451
01-07-2023,174614,Zeta Group,0.6645,18633,1214277.51,0.7256,0.0279,0.2464
01-09-2024,496026,Theta Enterprises,1.6388,17320,1064908.48,0.8571,0.031,0.1119
01-11-2024,542134,Zeta Group,1.5087,11048,389620.33,0.6807,0.2979,0.0214
01-08-2023,601623,Delta Co,2.3626,19027,1264893.4,0.5587,0.2932,0.1481
01-07-2024,125422,Alpha Corp,2.1511,17083,435028.52,0.7073,0.2093,0.0834
01-09-2024,287678,Delta Co,0.7197,17729,1266352.15,0.8746,0.0276,0.0978
01-09-2024,506088,Gamma Inc,1.047,21108,673645.7,0.5515,0.017,0.4314
01-07-2024,500685,Iota Partners,1.3251,12495,768947.91,0.7038,0.1976,0.0986
01-11-2023,171174,Theta Enterprises,2.1141,29009,2233511.65,0.06,0.4627,0.4773
01-07-2023,988225,Iota Partners,0.5778,11163,417107.07,0.8949,0.0807,0.0244
01-12-2023,471697,Iota Partners,1.8407,21411,1613950.62,0.0173,0.3812,0.6015
01-03-2024,356523,Beta LLC,1.9618,29395,930411.25,0.6417,0.0164,0.3419
01-02-2023,879267,Theta Enterprises,2.1242,16175,649241.07,0.2555,0.3591,0.3853
01-11-2023,720587,Eta Solutions,1.8914,10482,522552.92,0.1012,0.6738,0.225
01-09-2023,938281,Epsilon Ltd,1.1833,12694,452737.12,0.0669,0.5965,0.3366
01-07-2024,600011,Theta Enterprises,1.3141,22302,1019893.7,0.0938,0.4296,0.4766
01-08-2024,786279,Eta Solutions,0.8657,14817,569717.7,0.3077,0.5325,0.1598
01-03-2023,748260,Kappa Dynamics,1.5681,21747,604229.51,0.584,0.1164,0.2996
01-02-2023,585943,Epsilon Ltd,1.1768,18106,965195.6,0.1532,0.2255,0.6213
01-12-2024,660140,Kappa Dynamics,2.2255,22958,870474.96,0.0675,0.1809,0.7515
01-08-2023,684740,Kappa Dynamics,1.4052,18523,1014333.06,0.3054,0.4336,0.261
01-11-2023,918750,Kappa Dynamics,2.3001,18494,598442.07,0.1454,0.4405,0.4141
01-09-2023,341018,Gamma Inc,1.2018,16470,665135.93,0.1578,0.1143,0.7278
01-01-2024,847605,Gamma Inc,1.1073,23368,1078603.61,0.347,0.4871,0.1658
01-02-2024,318963,Iota Partners,1.535,20809,870088.37,0.2699,0.4655,0.2645
01-01-2024,935756,Zeta Group,1.1201,17776,848653.94,0.2502,0.5128,0.237
01-11-2023,919646,Epsilon Ltd,0.8249,14990,638761.95,0.1344,0.1234,0.7422
01-03-2023,520025,Beta LLC,0.9073,19805,1437662.9,0.131,0.8242,0.0447
01-08-2024,809786,Epsilon Ltd,0.8855,28265,1825778.81,0.1421,0.1036,0.7543
01-04-2023,564616,Eta Solutions,2.0636,27713,1650416.29,0.46,0.4307,0.1093
01-04-2023,690841,Iota Partners,1.2816,28786,2183065.28,0.3898,0.5363,0.074
01-06-2023,467364,Gamma Inc,1.8336,29615,1235784.06,0.8577,0.0954,0.0469
01-03-2023,859319,Epsilon Ltd,0.9453,22465,1073521.68,0.8401,0.1282,0.0317
01-06-2024,237395,Epsilon Ltd,2.4908,29174,1767826.93,0.243,0.6715,0.0856
01-07-2023,678359,Epsilon Ltd,1.3236,14889,841958.63,0.0363,0.1025,0.8612
01-04-2024,275957,Gamma Inc,1.9239,12929,780726.35,0.0521,0.5033,0.4446
01-07-2023,450121,Eta Solutions,0.7347,20659,545653.25,0.3235,0.3462,0.3303
01-02-2023,409517,Theta Enterprises,0.6669,14717,563770.37,0.1194,0.0987,0.7819
01-06-2023,768667,Kappa Dynamics,1.6294,12289,909765.39,0.378,0.2927,0.3294
01-11-2023,345920,Eta Solutions,1.8711,27663,1371152.18,0.0207,0.8004,0.1789
01-07-2023,386945,Theta Enterprises,1.1083,13658,349876.7,0.0448,0.54,0.4152
01-03-2023,267369,Eta Solutions,1.6881,12549,568602.84,0.2085,0.1895,0.602
01-01-2024,173312,Beta LLC,0.9943,26259,1406433.59,0.1381,0.819,0.0429
01-10-2023,861602,Epsilon Ltd,1.7947,19692,1091540.28,0.0642,0.004,0.9317
01-02-2024,203247,Iota Partners,0.6112,20702,1128016.89,0.1468,0.1955,0.6577
01-05-2023,548416,Iota Partners,2.0218,12732,843475.1,0.0842,0.8353,0.0805
01-01-2023,514314,Eta Solutions,0.5877,22168,1701642.15,0.1543,0.2404,0.6053
01-09-2023,929839,Kappa Dynamics,1.8256,22568,1165982.03,0.1548,0.2333,0.6119
01-09-2024,451761,Delta Co,0.6564,15182,1170594.39,0.0624,0.8428,0.0948
01-12-2024,653391,Gamma Inc,2.4277,16899,445483.05,0.2585,0.0382,0.7033
01-02-2024,274770,Eta Solutions,0.8294,28578,1319480.52,0.2266,0.115,0.6585
01-08-2024,641592,Gamma Inc,1.4892,11733,695413.77,0.1978,0.3829,0.4193
01-11-2024,254113,Alpha Corp,1.7273,29527,764523.4,0.0226,0.6433,0.3341
01-06-2023,679546,Alpha Corp,1.7188,18842,1304511.55,0.0383,0.3653,0.5963
01-10-2024,695105,Epsilon Ltd,1.7369,25457,817871.35,0.2249,0.1767,0.5984
01-12-2024,215554,Epsilon Ltd,1.1531,13448,683284.68,0.525,0.0839,0.3911
01-01-2023,654246,Zeta Group,0.5253,14443,1061979.34,0.2662,0.3575,0.3763
01-07-2023,740517,Theta Enterprises,1.2296,13389,476069.59,0.1713,0.4295,0.3991
01-11-2024,864555,Gamma Inc,1.6949,13276,559111.17,0.286,0.255,0.459
01-12-2024,702995,Beta LLC,0.8779,19587,1095463.41,0.7529,0.1912,0.0559
01-09-2023,752759,Eta Solutions,0.9514,23567,650486.48,0.1255,0.7069,0.1676
01-05-2023,803739,Theta Enterprises,1.6428,13373,500576.31,0.2488,0.2492,0.5021
01-01-2023,643240,Eta Solutions,1.0241,18122,639693.62,0.5744,0.361,0.0646
01-10-2024,187630,Iota Partners,1.3807,24104,824497.36,0.0792,0.5887,0.3321
01-04-2023,120359,Kappa Dynamics,1.4575,21787,554653.26,0.3121,0.298,0.3899
01-11-2023,245847,Epsilon Ltd,0.6309,15192,614085.1,0.0655,0.0984,0.8361
01-05-2024,691382,Theta Enterprises,1.2825,15527,496342.08,0.7685,0.1541,0.0773
01-03-2024,397076,Eta Solutions,1.2596,22551,1468051.45,0.3682,0.624,0.0079
01-02-2024,117473,Eta Solutions,1.981,15723,868185.58,0.2342,0.6443,0.1215
01-05-2023,576475,Theta Enterprises,1.2429,17577,542029.19,0.1373,0.6119,0.2507
01-04-2023,315676,Beta LLC,2.4042,24420,1173614.62,0.2004,0.2607,0.5389
01-03-2024,311607,Alpha Corp,2.1294,22362,860971.17,0.1792,0.6809,0.14
01-12-2023,226126,Eta Solutions,1.2033,12287,537215.66,0.1267,0.2799,0.5934
01-06-2023,331332,Gamma Inc,0.8139,29406,1569364.99,0.0878,0.1755,0.7367
01-04-2024,784663,Theta Enterprises,1.4935,18252,1127904.5,0.5356,0.057,0.4075
01-12-2023,639288,Theta Enterprises,0.7808,16708,444229.85,0.0087,0.6124,0.3789
01-08-2024,587789,Epsilon Ltd,0.9824,26826,1891777.28,0.5556,0.079,0.3654
01-09-2024,458323,Zeta Group,1.4551,28758,1431431.25,0.0476,0.666,0.2864
01-01-2023,882924,Gamma Inc,2.0904,19225,754759.96,0.6586,0.1064,0.2351
01-11-2024,564895,Kappa Dynamics,0.5632,14366,407556.95,0.0094,0.5992,0.3914
01-12-2023,974416,Gamma Inc,0.6279,29731,1927648.18,0.0076,0.8202,0.1722
01-02-2023,382486,Theta Enterprises,1.4008,26531,1471956.8,0.1481,0.2731,0.5788
01-08-2023,942523,Iota Partners,1.2536,29626,1353559.02,0.188,0.3005,0.5115
01-05-2023,574665,Epsilon Ltd,0.5703,23306,1164880.27,0.0223,0.7793,0.1984
01-08-2024,512305,Gamma Inc,0.9887,15290,896733.51,0.0456,0.401,0.5534
01-05-2024,355644,Kappa Dynamics,1.102,16731,851200.27,0.2088,0.5988,0.1924
01-09-2023,740023,Eta Solutions,1.4202,22446,1084571.25,0.1755,0.4299,0.3946
01-04-2024,286305,Zeta Group,1.351,29593,1323238.32,0.3742,0.3952,0.2305
01-05-2023,490881,Epsilon Ltd,2.0349,25062,1019982.62,0.0228,0.8495,0.1277
01-12-2023,418199,Kappa Dynamics,2.4234,11734,601936.92,0.5562,0.308,0.1359
01-05-2023,509007,Iota Partners,1.7537,18731,1322590.56,0.2834,0.3979,0.3188
01-04-2023,334328,Eta Solutions,1.2333,13893,455024.58,0.307,0.0523,0.6408
01-07-2024,842025,Eta Solutions,0.8617,16364,662640.71,0.478,0.0705,0.4515
01-01-2024,271311,Zeta Group,1.9747,13144,807627.99,0.0493,0.5357,0.415
01-10-2023,571436,Eta Solutions,2.3985,23267,1608175.23,0.617,0.2206,0.1625
01-09-2023,939729,Theta Enterprises,1.7021,29180,1537267.2,0.728,0.0915,0.1806
01-04-2024,239959,Eta Solutions,2.242,20956,959808.48,0.207,0.6548,0.1383
01-11-2023,923565,Gamma Inc,1.1414,12968,365287.55,0.524,0.2295,0.2465
01-01-2023,601533,Epsilon Ltd,2.2287,20233,944196.48,0.0478,0.0736,0.8786
01-03-2024,807057,Epsilon Ltd,1.8228,27099,897517.36,0.8981,0.029,0.0729
01-08-2023,712259,Kappa Dynamics,2.2982,23436,848629.44,0.0983,0.6373,0.2644
01-04-2024,385069,Epsilon Ltd,0.612,23151,592216.28,0.2195,0.4183,0.3622
01-04-2023,853330,Iota Partners,0.7991,28817,1756036.13,0.4267,0.2,0.3734
01-08-2024,477442,Eta Solutions,2.2847,24043,1596475.28,0.4606,0.2953,0.2442
01-05-2024,817628,Delta Co,0.7673,23865,1735840.62,0.1877,0.4092,0.4031
01-05-2024,239350,Beta LLC,1.1509,16629,549995.09,0.1696,0.5522,0.2782
01-05-2023,291744,Theta Enterprises,1.326,23605,1511261.78,0.3278,0.4956,0.1766
01-06-2024,458911,Delta Co,0.8043,27483,1742950.51,0.8304,0.1599,0.0096
01-03-2024,378594,Epsilon Ltd,1.9743,28863,1046759.85,0.189,0.1035,0.7076
01-01-2023,647512,Iota Partners,0.8641,10192,607482.82,0.5337,0.2571,0.2092
01-10-2024,130087,Kappa Dynamics,2.319,14691,740878.29,0.8552,0.1057,0.0391
01-05-2023,331677,Beta LLC,2.0262,17254,1131121.85,0.0326,0.8723,0.0951
01-08-2024,830057,Theta Enterprises,2.0517,15328,878312.87,0.0225,0.7153,0.2623
01-02-2023,578518,Kappa Dynamics,0.9829,12883,384021.84,0.5723,0.123,0.3047
01-09-2023,631321,Iota Partners,1.3082,21623,1362408.19,0.3715,0.2098,0.4188
01-12-2023,923756,Zeta Group,0.5523,12184,341801.31,0.0126,0.3735,0.6139
01-04-2023,502952,Gamma Inc,0.6372,20638,556510.84,0.0255,0.7686,0.2059
01-10-2024,167030,Iota Partners,2.022,26019,1415762,0.564,0.1526,0.2834
01-05-2023,927350,Beta LLC,1.9961,22074,1023736.24,0.6284,0.166,0.2056
01-04-2023,240282,Gamma Inc,2.1943,24579,828877.73,0.2021,0.1677,0.6301
01-05-2023,974938,Iota Partners,2.3721,20861,917447.91,0.0636,0.9105,0.026
01-07-2024,286141,Delta Co,1.634,26071,1114363.05,0.1016,0.8623,0.036
01-11-2023,429695,Eta Solutions,1.5112,15260,468892.71,0.3823,0.4893,0.1284
01-09-2023,727290,Alpha Corp,1.6939,20843,579573.11,0.2096,0.2289,0.5615
01-11-2023,841471,Zeta Group,1.7258,17449,947303.86,0.0477,0.4995,0.4527
01-09-2023,333065,Theta Enterprises,1.211,17435,674331.77,0.4667,0.5133,0.0199
01-06-2024,509926,Delta Co,1.954,20552,1336540.14,0.0445,0.5958,0.3597
01-04-2024,844571,Gamma Inc,2.4789,15797,1192632.52,0.6232,0.0399,0.3369
01-06-2024,451054,Delta Co,2.0924,26166,745337.94,0.3598,0.5538,0.0864
01-03-2024,552548,Kappa Dynamics,2.0371,15157,641004.3,0.3018,0.6167,0.0815
01-02-2024,271870,Zeta Group,0.969,20893,787137.76,0.0632,0.1596,0.7772
01-12-2023,410224,Beta LLC,2.0947,13883,418284.35,0.1912,0.777,0.0318
01-12-2023,366041,Delta Co,2.476,25228,698416.71,0.0506,0.6167,0.3326
01-02-2024,186838,Theta Enterprises,2.0541,17281,441248.33,0.3879,0.442,0.1701
01-05-2023,770890,Iota Partners,2.3459,11162,548069.98,0.6874,0.1527,0.1599
01-09-2023,414973,Delta Co,0.5286,21931,1502779.17,0.3251,0.5813,0.0936
01-02-2024,587355,Eta Solutions,2.4201,28474,2263556.03,0.4372,0.1577,0.4052
01-12-2024,824899,Gamma Inc,1.2157,22879,1046053.7,0.4036,0.0231,0.5733
01-11-2024,693258,Alpha Corp,0.5428,29485,1120450.37,0.7325,0.0347,0.2328
01-11-2024,317416,Eta Solutions,2.2067,12408,514787.74,0.4224,0.3461,0.2316
01-10-2024,163367,Epsilon Ltd,2.0638,16616,958408.02,0.4713,0.0105,0.5182
01-02-2023,928579,Zeta Group,2.23,18794,1223150.76,0.3088,0.5273,0.1639
01-12-2024,655624,Theta Enterprises,2.1301,29337,1685475.06,0.2152,0.4296,0.3552
01-06-2024,764454,Kappa Dynamics,0.6678,26841,1950699.8,0.0816,0.1722,0.7462
01-12-2024,236650,Zeta Group,0.7197,16358,433494.62,0.3862,0.5711,0.0427
01-03-2023,756456,Beta LLC,1.7709,25071,1667873.97,0.3832,0.2582,0.3586
01-04-2024,666703,Alpha Corp,1.958,25954,887397.66,0.5042,0.2445,0.2514
01-03-2023,347743,Epsilon Ltd,1.7892,29905,1514907.41,0.2153,0.3919,0.3928
01-06-2023,390719,Epsilon Ltd,0.5706,27077,2120335.8,0.3122,0.1643,0.5235
01-02-2023,823483,Eta Solutions,1.1566,12633,716772.88,0.0623,0.3214,0.6164
01-04-2023,125041,Gamma Inc,1.2362,15747,706889.97,0.4394,0.0006,0.56
01-06-2024,801922,Theta Enterprises,1.4858,25945,1913898.73,0.2612,0.6915,0.0473
01-04-2023,807775,Delta Co,0.8456,22049,1358324.18,0.1559,0.1026,0.7415
